id,公司名称,关联公司名称,岗位,岗位描述,岗位标签,待遇,学历,所在城市,发布时间
362,捷邦精密科技股份有限公司,捷邦精密科技股份有限公司,蚀刻采购副经理,招聘要求：1、大专及以上学历，三年以上采经理工作经验。2、熟悉五金行业原材料市场走势，精通蚀刻行业。3、优秀的商务谈判能力、较强的沟通、分析能力、抗压能力、擅长人际交往，思维敏捷，洞察力强，有较强的成本意识、思维严谨，条理清晰。,接受出差五金行业商务谈判,1.2-2万,大专,东莞市,2025-07-07
363,博纳影业集团股份有限公司,博纳影业集团股份有限公司,会计,<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责：1.负责集团所属分公司的日常会计核算处理工作，定期核对账目，审核各种凭单据合规性、手续完备性、数字正确性；2.负责编制各类会计报表、统计报表；3.负责凭证、报表、文件、资料的整理、收集、归档工作；4.负责沟通协调与其他业务和管理部门的关系；5.完成税务、工商申报及财务审计工作，同银行、税务、工商、基金业协会、会计师事务所等机构保持良好关系；6.完成领导交办的其他工作。 任职要求：1.本科及以上学历，财会类相关专业优先；2.3 年及以上财务工作经验，有相关工作经验者优先考虑；需会计从业资格证。3.工作认真负责，具有高度的敬业精神和工作责任心；4.有较强的沟通能力和财务分析能力，执行力强。,,6-8千/月,本科,朝阳区,2018-05-02 00:00:00
364,中国平安财产保险股份有限公司河源中心支公司,中国平安财产保险股份有限公司河源中心支公司,团体客户经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、从事银行、政府、企业等团体渠道或客户的业务拓展、维护、等销售支持、推动工作;2、按照标准作业模式，做好客户售前、售中及售后服务;3、相关理赔服务跟进;4、其他常规工作。任职要求：1、本科及以上学历，保险专业优先，业务能力突出者可视情况放宽录用;2、具有良好的沟通协调能力、抗压能力;3、具备较强的执行力、业务拓展能力、推广能力;4、掌握一定保险产品知识，对保险行业有较强认同感;5、各类办公软件操作熟练掌握、学习能力强、细心耐心。,,8千-1.6万,本科,河源市,2023-11-27 00:00:00
365,中国平安财产保险股份有限公司河源中心支公司,中国平安财产保险股份有限公司河源中心支公司,团体客户经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1、从事银行、政府、企业等团体渠道或客户的业务拓展、维护、等销售支持、推动工作;2、按照标准作业模式，做好客户售前、售中及售后服务;3、相关理赔服务跟进;4、其他常规工作。任职要求：1、本科及以上学历，保险专业优先，业务能力突出者可视情况放宽录用;2、具有良好的沟通协调能力、抗压能力;3、具备较强的执行力、业务拓展能力、推广能力;4、掌握一定保险产品知识，对保险行业有较强认同感;5、各类办公软件操作熟练掌握、学习能力强、细心耐心。,,8千-1.6万,本科,河源市,2023-11-27 00:00:00
366,新晨科技股份有限公司,新晨科技股份有限公司,测试工程师,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>工作职责:1、技术人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、组织和实施软件测试项目；3、完成数据库应用软件的功能测试；4、跟踪分析测试情况，解决测试过程遇到的问题；5、建立、维护测试工作的相关文档。任职资格:1、公立院校毕业，计算机或相关专业； 2、具有银行业务测试经验者优先； 3、熟悉数据库常用操作命令，了解Java语言；4、熟悉LINUX或UNIX系统常用命令5、了解软件工程学思想和方法，了解基本数据库系统及网络知识； 6、较强的发现问题，分析问题的能力；较强的语言表达能力和文档撰写能力，良好的英文阅读能力； 7、工作责任心强，细致，耐心。,,1-1.5万/月,本科,,2019-06-27 00:00:00
367,深圳市兆威机电股份有限公司,深圳市兆威机电股份有限公司,开发采购工程师-结构件(J10344),"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作职责:1、主导新供应商导入。2、根据研发所需样品并安排打合，确认产品具有量产性。3、现有供应商管理，确认产品交付正常。4、设计变更品跟进处理。任职资格:1、大专以上学历；2、专业基础：具五年以上采购工作经验，了解五金、橡胶、粉末冶金、压铸、冲压，电子等物料的物产工艺,有一定的供应商资源，熟悉供应链各模块运作流程,在客户寻价，产品试产，正式量产各阶段具有独立的成本分析能力.3、工作经验：了解制造型企业采购、品质、研发等部门操作流程、较强的供应商开发能力及现有供应商的管控能力。4、沟通谈判能力：良好的沟通协调和商务谈判能力;5、熟练操作SAP，SRM系统、WORD、EXCEL,CAD等办公软件；6、良好的职业操手,较强的责任心,能承受较大工作压力,独立性强.",办公软件<$&0007&$>电子<$&0007&$>cad<$&0007&$>采购<$&0007&$>excel<$&0007&$>word<$&0007&$>sap<$&0007&$>研发<$&0007&$>供应商管理<$&0007&$>成本分析,1-1.3万,大专,深圳市,2024-06-26 00:00:00
368,广东鸿铭智能股份有限公司,广东鸿铭智能股份有限公司,工艺工程师,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责： 1、精通非标五金机械加工，钣金、焊接等加工工艺流程, 能准确的计算出加工工时。 2、推进工艺工程制程改善、协助采购订单外协评估、报价。3、制程品质和效率的提升、工艺的优化、ERP系统数据的维护。 4.、机加工件图纸的审核、工艺路线、标准工时录入ERP系统。 5、ECN评审及生产过程异常处理。 6、从事五金、机械加工行业5年以上，有两年以上报价工艺经验。 任职要求： 1、大专（有经验可放宽)，机械、电子相关专业，3年以上相关工作经验；2、从事非标自动化设备、机械加工、五金加工行业优先； 3、掌握Solidworks或Proe、CAD等办公软件使用方法.4、有机械加工基础等专业知识、责任心、学习能力强； 5、能独立完成机加件工艺流程评估、给出工时、报价（可直接优先面试）",工艺/制程,8千-1.3万,大专,东莞市,2022-04-26 00:00:00
369,广东柏堡龙股份有限公司,广东柏堡龙股份有限公司,新媒编辑,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1、 微信公众号运营文案编辑2、 参与策划制定相关的微信运营策略、编辑计划、专题策划文案梳理  3、 按照编辑计划，负责微信公众号的内容更新、撰写、配图和上传管理；  4、 负责联系外部作者，与作者协商外稿专题与内容，指导作者写稿，帮助作者改稿； 5、 跟踪微信推广效果，分析数据并改进，撰写年度总结报告； 6、 公司安排的其他相关工作。任职资格：1、 中文、英文、传媒、市场、广告、服装、等相关专业本科及以上学历，1年以 上新媒体（网站、微信、微博等）工作经验；  2、 文笔好：热爱新媒体，熟悉新媒体写作风格，喜欢网络语言并能熟练运用，有强悍 的信息采编整合和写作及创作能力；  3、 性格好：学习能力强，性格外向善于沟通，语言表达能力强，对新事物敏感时尚， 热爱美食；  4、有PS基础，能根据新媒体内容选图、配图和简单设计；会网络视频的简单 编辑；  5、 英文至少4级以上水平，能熟练阅读翻译英文网站和英文资料，从Google、英文版 维基百科上搜索资料。,,,,深圳市,2017-02-25 00:00:00
370,安徽容知日新科技股份有限公司,安徽容知日新科技股份有限公司,行政前台,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1、负责公司级客户来访接待及交流、参观讲解；2、负责各类来访人员的接待及指引；3、负责公司礼品仓库的实物管理及出入库管理；4、负责公司快递费用的结算及快递收发管理；5、负责总机电话的接听及转接；6、各类日常行政事务的协助处理或项目性工作的开展。任职资格：1、大专及以上学历。一年以上相关工作经验，有一定文字功底；2、形象好、气质佳，性格开朗，善于沟通，有较好的语言表达能力和亲和力；3、熟练操作办公室软件系统，特别是EXCEL、WORD、PPT等；4、有较好的学习能力和执行力。,前台<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>行政专员,3.5-5.5千/月,大专,合肥市,2019-06-14 00:00:00
371,江西耐普矿机新材料股份有限公司,江西耐普矿机新材料股份有限公司,国内业务员,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1、具备2年销售经验2、熟悉行业相关法律、法规及公司的各项规章制度；熟练掌握Office办公软件；拥有良好的协调、沟通技能，具备团队管理经验3、做好业务营销、信息收集、回款追踪等事宜。4、专科以上学历，25岁以上，***，市场营销或机械类相关专业,营销，机械,3-4.5千/月,大专,上饶市,2018-08-14 00:00:00
372,威海市天罡仪表股份有限公司,威海市天罡仪表股份有限公司,厨师,<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>公司内部餐厅的厨师，主要工作是公司200人的午餐。身体健康、勤劳肯干。<$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>  <$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>,,,中专,威海市,2015-11-25 00:00:00
373,卡莱特云科技股份有限公司,卡莱特云科技股份有限公司,硬件工程师,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        岗位职责：1. 参与分析产品需求，设计产品的硬件方案，评估硬件开发的可行性，以及器件选型与成本控制；2. 根据产品开发需求，负责硬件设计文档编写、原理图设计、指导检查PCB Layout设计、BOM等工程资料制作；协助解决硬件设计中的关键问题和技术难题。3. 负责板级测试和验证，协助程序调试；参与产品系统联调、测试、试产等验证过程，解决相关硬件问题。4. 负责产品硬件的优化和维护，以及其他硬件相关的工作，包括生产测试、认证测试等相关工作。任职要求：1. ***统招本科及以上学历，3年及以上相关工作经验、通信、电子、自动化等相关专业；2. 具备良好的数字电路、模拟电路基础；熟悉FPGA、ARM处理器、视频图像、以太网接口等数字电路设计；3. 熟悉硬件项目研发流程，能够独立完成硬件电路开发、测试工作，输出完整规范的设计文档；4. 熟练Cadence（OrCAD、Allegro）设计工具，熟悉高速电路PCB布局布线设计规则和要求；5. 具有良好的团队协作和沟通能力，具有很强的责任心和严谨的工作态度。,,1.1-2万/月,本科,西安市,2021-08-04 00:00:00
374,招商银行股份有限公司咸阳分行,招商银行股份有限公司咸阳分行,招商银行客户经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        招商银行咸阳分行信用卡部诚邀您的加入！一：岗位职责：   1、负责招商银行信用卡意向客户的产品受理及客户开拓与维护；   2、负责信用卡相关产品的推广和服务；   3、推进综合零售业务营销，为客户提供优质专业的个人金融消费服务。二、岗位要求：   1、大专及以上学历，专业不限；   2.反应敏捷、表达能力强，具有较强的沟通能力及营销技巧，具亲和力；   3.具备一定的市场分析及判断能力，良好的客户服务意识；   4.有团队协作精神，善于挑战，个人征信良好，无不良历史记录。三、工作地点：咸阳市秦都区秦皇中路108号招商银行 　四、薪资构成：底薪+提成+激励（月收入5000~10000+元）。五、其他福利：入职即缴纳五险一金（养老保险、医疗保险、工伤保险、生育保险、失业保险以及住房公积金），体检，行服，高温补贴等等,直销销售,5千-1万,大专,咸阳市,2023-09-15 00:00:00
375,中国平安财产保险股份有限公司开发区支公司,中国平安财产保险股份有限公司开发区支公司,车代渠道销售经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        任职要求：1、本科及以上学历；2、具有良好的服务意识和沟通能力；3、个性开朗、待人热情、诚信正直；4、工作认真细致，责任心强，具备抗压能力；5、熟悉各种办公软件操作；工作职责：1、负责所辖合作网点、伙伴新拓与关系维护，营销方案制定，保证各项指标、业绩达成；2、市场同业信息收集、续保追踪、线上合作推动、合作伙伴痛点挖掘与协助解决；3、协调处理合作伙伴销售、理赔过程中的问题；4、上级安排的其他相关工作,车险<$&0007&$>续保<$&0007&$>财产险<$&0007&$>健康险<$&0007&$>责任险<$&0007&$>货运险<$&0007&$>保险销售,4-8千,本科,广州市,2023-07-10 00:00:00
376,中国平安人寿保险股份有限公司北京分公司,中国平安人寿保险股份有限公司北京分公司,产品经理,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        有意者直接电话联系任职资格： 要求年龄在25---45周岁，大专及以上学历，求职者优先考虑，异地和年龄不符***！薪资待遇：底薪+职级津贴+养老金+达成奖金+超额奖金+年终奖金+服务津贴+保险+实物奖励福利待遇：1.周末双休，享受国家法定节假日，工作时间自由；.完善的晋升渠道，无限的晋升空间；3.完整的激励机制，周激励奖、月激励奖、季度激励奖等；4.每年公费旅游，不限次的集体活动；5.国家相关理财规划师职级考试培训；6.丰厚的过节福利。,金融<$&0007&$>银行<$&0007&$>信托<$&0007&$>客户经理<$&0007&$>理财顾问,2-4万,大专,东城区,2023-05-30 00:00:00
377,沈阳万科物业服务有限公司,沈阳万科物业服务有限公司,万科外盘 恒大世界城招聘保安,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        【基本要求】政历清楚，无犯罪记录，退伍军人优先【福利待遇】（无任何押金，不拖欠工资）1、工资：月薪4831元，各种礼金（年底过节费+御寒津贴）；法定休假日加班支付300%加班费；2、工作职责:负责外来人员、车辆核实登记3、工时：半个月一倒班4、服装：公司免费提供四季工服（不收任何押金、离职需退还）；5、员工福利食堂；免费宿舍WiFi覆盖6、保险：每名员工均缴纳六险一金；,,4.3-4.8千,初中,沈阳市,2023-03-09 00:00:00
378,广东利扬芯片测试股份有限公司,广东利扬芯片测试股份有限公司,储备干部,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        本岗位为公司储备型人才，为公司专业、重点培养对象，通过1-3个月的培训考核期，根据个人实际情况安排入研发工程师、产品工程师、设备工程师、维修工程师等岗位。岗位要求1、能吃苦耐劳、前期需适应加班甚至两班制（依实际情况适时调整月薪制）；2、机电一体化、自动化、电子信息等相关专业，大专以上学历毕业生、实习生优先考虑。,储备干部<$&0007&$>管培生,4-6千/月,大专,东莞市,2017-02-20 00:00:00
379,湖北和远气体股份有限公司,湖北和远气体股份有限公司,国际业务部部长,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作职责：负责协助销售总监，拓展国际业务工作，开展国际渠道建设，国外前端产品规划工作。任职要求：本科学历，化工、材料、电子信息或相关专业，有行业经验者或有国际贸易经验者优先。,行业专业知识<$&0007&$>市场营销能力,20-30万/年,本科,宜昌市,2024-04-17 00:00:00
380,中国平安人寿保险股份有限公司广东分公司财富营销服务部,中国平安人寿保险股份有限公司广东分公司财富营销服务部,中国平安售后专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        招聘要求：25-45周岁，大专或以上学历。薪资待遇：底薪5000+绩效提成+各种福利，新员工保底收入8000+工作时间：8:30-17:30，中午休息两个小时，周六周日双休，法定节假日正常放假。工作职责：主要负责老客户理赔协助，投诉处理，续保，继续购买产品和邀约老客户领取礼品等工作，不需要工作经验。公司福利：公司环境氛围好，平台大，起点高，明确上升空间，带薪年假，年度旅游，年度体检，节日礼包，生日礼物，月度团建，亲情津贴，下午茶歇，入职公司全额购买商业保险。注意：岗位半服务半销售性质，以服务为主。,,2.5-5千,大专,广州市,2023-07-20 00:00:00
381,珠海博杰电子股份有限公司,珠海博杰电子股份有限公司,招聘专员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作职责：1.根据行业分布、竞争及上下游企业情况，收集相关信息，绘制人才地图；2.负责制造版块或工程版块的人才招聘工作；3.开拓维护招聘渠道，建设维护人才库，对接猎头渠道资源；4.可参与部分人力资源项目性工作（如、任职资格、绩效方案、校招、应届生培养方案等）任职要求：1.本科以上学历，理工科背景优先 ；2.四年以上大中型、高科技企业招聘或猎头从业经验；3.了解研产销业务流程，全面负责过社会招聘和校园招聘的各项工作，快速反应业务需求；4.良好的沟通表达及组织协调能力，良好的人际理解、学习及洞察能力；5. 激情、活跃、关注他人需求，有成就导向。,绩效管理<$&0007&$>招聘与配置<$&0007&$>大中型企业从业,8千-1.1万,本科,珠海市,2024-11-28 00:00:00
382,深圳市天图投资管理股份有限公司,深圳市天图投资管理股份有限公司,新媒体编辑岗（实习）,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>主要职责：1. 负责行业信息收集，编辑、发布、推广微信软文；2. 负责公司微信公众号日常运营管理；3. 时刻关注网络潮流动态，新媒体热门话题，不断开辟有价值的新内容领域媒体；4. 积极与粉丝互动，扩大公众号传播效应；5. 完成直属领导交办的其他相关工作。任职资格：1. 大学本科及以上学历，新闻传播学、市场营销、广告学、中文学、新闻学等相关专业优先；2. 具有独特、新颖、开阔的创意思维，热爱策划工作，并有创意的激情；3. 每周能至少实习三天。,新媒体编辑<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>平面设计<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>美工<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>设计,,本科,东城区,2016-04-29 00:00:00
383,四川川环科技股份有限公司,四川川环科技股份有限公司,英语翻译,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责 1、负责日常英语业务的翻译； 2、接受主管的分配的翻译任务； 3、保证翻译质量； 4、翻译资料的整理收集、知识管理； 5、翻译并与翻译团队成员沟通协作； 6、参加部门内开展的专业培训与交流，提高翻译的专业水平。 任职资格 1、大专及以上学历2、外语听说能力良好，笔译功底深厚，精通中外互译，中文文笔优秀； 3、1年以上翻译经验，工作认真细致、思维敏捷，责任心强； 4、有编辑、笔译相关工作经验优先考虑。,翻译<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>英语<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>汽车,,,达州市,2016-03-06 00:00:00
384,安徽龙磁科技股份有限公司,安徽龙磁科技股份有限公司,行政经理/主管/办公室主任（周末双休）,岗位职责：1、根据公司发展战略完善公司人才储备和梯队建设，推进和优化人才招聘、培训、激励、保留等各项工作；2、负责公司总务管理相关的内外部各方资源的沟通与协作，协调、监督，确保各项工作的顺利推进与实施；3、负责公司的物业、员工食堂、宿舍保障、行政快递等工作；4、负责固定资产、办公用品的采购管理及维护，门禁、办公环境及车辆管理；5、协同支持公司安全环保监督及合规性管理工作；6、高效妥善处理临时性或突发性的各类事务。7、完成上级领导交办的其他工作。岗位要求：1、本科及以上学历，人力资源、行政管理、工商管理等专业，具备3年以上中大型制造业企业管理经验；2、精通企业管理、人力资源、行政管理、安全环保等相关专业板块，有制造业新项目全周期跟进并落地经验优先；3、具有优秀的人际亲和力、沟通表达能力和协调能力，工作积极主动、有强烈责任心和创新能力，具备较强的服务意识和商务礼仪；4、抗压能力强，在对外公共关系处理、企业文化建设、商务活动组织、环保监管等方面有较好大局观和解决问题能力。5、有三年以上实际驾龄，驾驶熟练。,固定资产管理办公环境管理招聘管理员工培训物业管理行政管理食堂管理厂区管理,8千-1.5万,本科,合肥市,2025-01-22
385,南京海辰药业股份有限公司,南京海辰药业股份有限公司,财务会计,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>岗位职责：1、银行结算及票据的核算及处理；2、日常银行收付款账务处理；3、银行报表、资料报送；4、货币资金报表及分析；5、会计凭证整理、装订。6、上级交代的其他事项 任职要求：1、有会计证，助理会计师职称以上人员优先；2、有两年以上相关财务或银行业务工作经历；3、熟练掌握办公软件及用友等财务核算系统； 4、熟悉国家相关法律、相关制度政策的规定； 5、良好的学习能力、独立工作能力和财务分析能力； 6、工作细致，责任感强，良好的沟通能力、团队精神。,会计,,大专,南京市,2016-11-13 00:00:00
386,海天水务集团股份公司,海天水务集团股份公司,综合类管培生,"<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        海天水务集团股份公司是以供水业务及污水处理业务为主营业务的综合环境服务运营商，公司秉持“海天水务,为民服务”的理念和“改善环境，造福社会”的宗旨，形成了集科研、供排水、资源循环利用为一体的现代环境综合服务产业链,在四川、河南、云南、新疆等地拥有30家子公司。公司现已进入高速发展的跨越性阶段，朝着具有世界影响力的环境综合服务品牌全力前进。面对经济新常态和行业新格局，为了共铸海天辉煌、创建行业标杆，打造年轻化、知识化、专业化、高品质、高素质的人才队伍，现诚邀奋勇拼搏、锐意进取、创新发展的精英加入海天，共绘璀璨蓝图！综合类管培生：人力资源、行政管理、法律、审计、企业管理等相关专业我们希望您：全日制2020届本科、硕士毕业生，品学兼优，拥有良好的团队协作能力和自我挑战动力。★ 投递简历时仅需谨慎选择一个岗位类别进行投递即可，简历通过会以简历投递岗位为面试岗位，但最终录用岗位以面试测评匹配结果为主要依据。",,4-8千/月,本科,成都市,2019-09-19 00:00:00
387,深圳市崧盛电子股份有限公司,深圳市崧盛电子股份有限公司,业务跟单,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作职责：1.负责接受订单，确认订单详情以及协调客户关系，每月对帐单的核对2.负责公司自有订单、询盘的沟通3.负责公司销售合同等文件资料的管理、归类、整理、建档和保管4.负责各类销售指标的任职要求1.大专以上学历，电子或市场营销相关专业2.有LED电源、开关电源、适配器、电子电器等相关经验者优先3.一年以上业务助理或跟单经验，能熟练操办公软件和办公设备4.具备良好的沟通能力和抗压能力，能吃苦耐劳。,业务跟单<$&0007&$>跟单,6-7千,大专,中山市,2022-11-17 00:00:00
388,杭州联德精密机械股份有限公司,杭州联德精密机械股份有限公司,宿管员包吃住（下沙）,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        工作内容：1、负责员工入、退住手续办理、宿舍分配、钥匙管理、卫生检查。2、月度水电抄表登记。3、宿舍日常物料领用管理登记。职位要求：1.年龄50周岁以下，身体健康，普通话标准；电子门禁管控熟练，有亲和力，有责任心。2.能接受长期住宿安排，包吃住；3.有相关工作经验者优先。工作时间：月休四天，24小时住公司宿舍。薪资福利：薪资3500-4500，具体面议。包住，节日福利。,,3.5-4.5千/月,高中,杭州市,2021-06-24 00:00:00
389,悦康药业集团股份有限公司,悦康药业集团股份有限公司,医美文案,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        1.负责各新媒体平台的文案内容的编辑撰写，排版、运营。2.协助学术部门完成学术资料的编辑撰写。3.根据品牌医学定位，原创撰写公众号文章 ，官方微博，微信朋友圈文案。4.提炼产品卖点，定向人群受众。提高官方平台关注度和粉丝阅读量。5.负责对接新氧、更美、小红书等平台的图文编辑。6.学术会议相关新闻稿的撰写。任职要求：1.本科学历，中文、新闻、市场营销相关专业。2.具备较强的文案功底。熟悉医疗行业、化妆品行业。3.有品牌策划或医美从业经验优先。4.思想年轻化，有创意。,新媒体运营<$&0007&$>文案编辑<$&0007&$>文案策划,6-8千/月,本科,大兴区,2021-05-07 00:00:00
390,深圳市核达中远通电源技术股份有限公司,深圳市核达中远通电源技术股份有限公司,生产主管,【工作内容】-负责生产计划的制定与执行，确保生产任务按时完成。-监控生产过程中的质量控制，保证产品符合标准。-管理生产团队，进行人员培训、绩效评估及激励机制设计。-优化生产流程，提高生产效率和降低成本。-协调各部门，解决生产过程中出现的问题。-制定并执行安全生产规范，保障员工安全和生产环境安全。【任职要求】-具备优秀的领导力和团队管理能力，能够带领团队高效运作。-对生产流程有深入的理解，熟悉质量管理标准和方法。-良好的沟通协调能力，能够处理好与其他部门的关系。-有强烈的责任心和解决问题的能力，能够在压力下保持冷静。-5年以上工作经验，但有相关行业经验者优先考虑。-接受过正规的职业教育或培训，拥有相关专业背景者优先。,双休住宿免费家电3C电子PCBASMTDIP封装汽车电子2人间宿舍团队管理生产计划质量管理质量控制人员培训生产流程降低成本职业教育安全生产规范提高生产效率,8千-1.1万,大专,汕尾市,2025-06-25
391,江苏固德威电源科技股份有限公司,江苏固德威电源科技股份有限公司,体系主管,<$&0006&$><$&0007&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$><$&0005&$>1) IATF16949管理体系标准化建设，协助各部门制订相关管理制度、工作流程，  并监督检查实际执行状况，不定期实施内部稽核；2) ISO9001:2015和ISO14001:2015版本转版认证和各部门体系文件修订、完善及发行回收管理；3) ISO9001、ISO14001、OHSAS18001、IATF16949管理体系运行状况监督、检查4) 主导内部审核、外部审核及协助收集管理评审相关资料；5) 收集汇总内审、外审、稽核中的不符合项，监督持续改善；6) ECN、BOM的日常维护管理；7) 公司测量设备的仪校管理；8) 全员质量意识提升，完善质量管理教育培训；9) 达成部门分目标内的各项KPI要求；,,,本科,苏州市,2017-07-27 00:00:00
392,浙江彩蝶实业股份有限公司,浙江彩蝶实业股份有限公司,003外贸业务员,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        不限,,3-4.5千/月,大专,湖州市,2020-04-03 00:00:00
393,中国平安人寿保险股份有限公司重庆分公司,中国平安人寿保险股份有限公司重庆分公司,高薪聘金融销售顾问+周末双休,<$&0006&$><$&0007&$>    <$&0006&$><$&0007&$>        【岗位职责】：1.接受公司一系列相关培训，学习金融、保险、投资理财等知识；2.完成公司的基本考核任务和经理安排的相关事宜；3.负责对公司理财产品能够全力宣传、推广、销售；4.协助直接主管完成个人业务工作，并且对客户进行售前售后服务，客户经营；任职要求:1、良好的沟通能力2、五官端正，身体健康，无犯罪记录3、工作细心、责任心强、勤奋好学；4、有目标感，具有良好的心理素质周一到周五早上8:30---下午5:30，周末双休，法定节假日休息，无加班。,投资理财<$&0007&$>客户经营<$&0007&$>售前售后服务<$&0007&$>宣传<$&0007&$>周末双休<$&0007&$>平安大学学习<$&0007&$>公平晋升空间,7千-1.4万,大专,江北区,2023-03-06 00:00:00
